video_id,title_length,uppercase_count,lowercase_count,special_characters_count,emoji_count,at_tags_count,dominant_color_r,dominant_color_g,dominant_color_b,num_edges,img_entropy,description_length,hashtags_count,urls_count,tags,duration,view_count,like_count
xqXZ6GU9Rfs,49,9,29,2,0,0,90,193,5,13525,[5.1133432],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46494,2755
URNsrZza7Es,18,2,13,1,0,0,247,252,244,10085,[3.885061],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8286,228
KrLj6nc516A,23,2,3,5,0,0,56,172,207,13394,[5.30388],1001,0,7,,PT16M28S,75160685,3805987
KrLj6nc516A,23,2,3,5,0,0,54,171,205,13394,[5.30388],1001,0,7,,PT16M28S,75202569,3807227
KrLj6nc516A,23,2,3,5,0,0,55,172,206,13394,[5.30388],1001,0,7,,PT16M28S,75202569,3807546
KrLj6nc516A,23,2,3,5,0,0,56,173,207,13394,[5.30388],1001,0,7,,PT16M28S,75227699,3807711
KrLj6nc516A,23,2,3,5,0,0,56,173,209,13394,[5.30388],1001,0,7,,PT16M28S,75227699,3807818
nARrOiCkpF0,61,10,38,1,1,0,51,55,49,18463,[5.4402122],740,0,3,"free fire,garena free fire,tonde gamer,tonde new video,tonde,gaitonde,tgr gaitonde,best gameplay,free fire hindi,ff hindi,free fire king,free fire gameplay,ajjubhai,total gaming,desi gamers,top 1,grandmaster,pro lobby,challenge,free fire challenge,mr triple r,rrr,1 hp,1 hp challenge,ff challenges,tonde challenge,free fire max,ff hard challenge,most difficult challenge,tonde 1 hp challenge",PT21M15S,439934,46547
lJrHLnhJl-M,33,4,14,4,0,0,254,248,248,7590,[4.2063904],569,0,6,,PT13M31S,47814117,996933
nARrOiCkpF0,61,10,38,1,1,0,210,185,129,18463,[5.4402122],740,0,3,"free fire,garena free fire,tonde gamer,tonde new video,tonde,gaitonde,tgr gaitonde,best gameplay,free fire hindi,ff hindi,free fire king,free fire gameplay,ajjubhai,total gaming,desi gamers,top 1,grandmaster,pro lobby,challenge,free fire challenge,mr triple r,rrr,1 hp,1 hp challenge,ff challenges,tonde challenge,free fire max,ff hard challenge,most difficult challenge,tonde 1 hp challenge",PT21M15S,439934,46570
lJrHLnhJl-M,33,4,14,4,0,0,254,249,249,7590,[4.2063904],569,0,6,,PT13M31S,47815958,996945
nARrOiCkpF0,61,10,38,1,1,0,212,187,129,18463,[5.4402122],740,0,3,"free fire,garena free fire,tonde gamer,tonde new video,tonde,gaitonde,tgr gaitonde,best gameplay,free fire hindi,ff hindi,free fire king,free fire gameplay,ajjubhai,total gaming,desi gamers,top 1,grandmaster,pro lobby,challenge,free fire challenge,mr triple r,rrr,1 hp,1 hp challenge,ff challenges,tonde challenge,free fire max,ff hard challenge,most difficult challenge,tonde 1 hp challenge",PT21M15S,440752,46611
qI5j1aQu0vA,36,10,20,1,0,0,98,75,235,15190,[5.3284507],826,0,5,"vermax,xen vermax,dream setup,dream gaming setup,vermax setup,vermax setup tour,vermax room tour,vermax dream gaming setup",PT7M7S,68554,0
k38laOCwmdM,71,52,3,4,1,0,26,16,12,13764,[5.2238345],855,3,4,"BGMI,BGMI LIVE,LOLZZ GAMING,LOLZ,GODLIKE,GODLIKE LOLZZ",P0D,100428,21766
csxHHdgjDOA,99,76,0,4,1,0,21,17,22,23006,[5.471307],788,14,4,"free fire,desi gamers,free fire india,garena free fire,free fire live,challenge videos free fire,free fire challenges,grandmaster player,1 million likes,world most liked free fire player,free fire max,desi gamers vs daddycalling,INDIA'S NO.1 RICHEST PLAYER,lokesh gamer,garena free fire max,as gaming,as gaming new video,as gaming vs lokesh gamer,MOST EXPENSIVE FREE FIRE ID WITH V BAGE AND 8 LAKH DIAMONDS,free fire unban date",PT15M53S,122673,11746
JOQuZXFlwKs,36,18,6,2,0,0,70,36,229,17540,[5.3520575],957,1,9,"iraphahell,irafael,rafael,iraphahell se joaca",PT23M42S,154535,12171
kqU4iVaZKPE,76,13,39,2,0,0,80,48,95,20201,[5.3006773],3964,7,47,,PT1H38M,1284369,25634
qf3h4X9kwxg,83,69,0,0,0,0,29,197,248,8351,[5.100012],1481,21,6,"GTA 5,GTA V,GTA 5 GAMEPLAY HINDI,GTA 5 TECHNOGAMERZ,GTA 5 TECHNO,GTA 5 CAR COLLECTION,GTA 5 ROBBERY,gta 5 hindi gameplay,gta 5,gta 5 shinchan,gta 5 frostbite,shichan and franklin gta 5 space parkour,shin chan cartoon gta 5,gta 5 shin chan,shin chan gta 5 gameplay,shin chan franklin parkour challenge,parkour challenge gta 5,flight gamer,frostbite gaming,techno gamerz,yippi gaming,yippi,yippie,yippi new video,yippi gaming new video,yippi games,toons",PT22M20S,72471,2010
_5x3XBxkq9o,98,22,45,6,1,0,60,30,57,15556,[5.3332005],2939,3,4,"music mix 2023,best music mix,dance music 2023,dance music,popular songs remix,best remixes of popular songs 2023,edm,car music mix,best music 2023,gaming music,magic music,edm remix of popular songs,remixes of popular songs,music mix,bass boosted,best music mix 2023,magic records,remix,best remixes of popular songs,songs 2022,magic free release,popular 2022,gaming music 2022,music gaming 2023,Gaming Music 2023,edmforlife,edm for life",P1DT8M53S,901142,16724
WRB5ymaIiVk,66,34,19,2,0,0,35,25,15,15315,[5.4798512],1632,0,1,,PT8M23S,68188,7921
gdDpaf9pU84,53,4,26,7,1,0,48,56,57,4168,[4.976304],831,4,4,"@ytshort,youtube shorts,master shorts,youtube,gadgets,phone,mobile phones,shorts video,shorts song,short,tech,hacks,funny,gaming phone",PT51S,1305764,128078
OypodKDXYbo,47,31,0,4,0,0,46,21,15,14388,[5.051592],244,0,0,"gaming antelope,the gaming antelope,gaming antilop,геминг антилоп,гейминг антилоп,антилопа,the boxing antelope,unboxing antelope,deni,denislav dimchev,денислав димчев,дени,яни,дени и яни,анди,дани,тайна гейминг стая,гейминг стая,andy studios,negamer,andy plays games,негеймър,анди плейс геймс,ДЕМОН НИ ЗАКЛЮЧИ В МАЗЕТО В 3:00 ПРЕЗ НОЩТА !!!,ayowoki,escape the ayowki,ТЪРСЯ ПЪТ ЗА БЯГСТВО ОТ ДЕТСКИ ЛАГЕР НА УЖАСИТЕ | JOYVILLE",PT25M37S,19978,1376
Ch6HOegCCjc,45,37,0,0,0,0,226,242,243,16257,[5.0507703],1086,0,15,"gta,gta 5,gta 5 gameplay,gta v,grand theft auto,shinchan gta v,gta 5 in hindi,gta v in hindi,gta 5 shinchan,gta v shinchan,gta 5 franklin,GTA 5 RACE,gta v racing,frosty gta v,frostbite gaming gta 5,gta 5 techno gamerz,gta 5 game,gta 5 races frosty and chop,gta 5 race frostbite gaming,frosty gaming,frosty bhai,chop and frosty,tractor,gadi,game game,franklin video,ROBLOX CHOP PUNCHED ME SO HARD BUT STILL LOST",PT12M15S,70731,2525
W18j3d5LkOw,63,9,37,3,0,0,21,42,65,20293,[5.321768],1805,0,14,"gaming music,edm,gaming music 2023,best music mix 2023,best music mix 2022,music mix 2022,gaming music 2022,best gaming music,best music mix,edm remix of popular songs,music 2022,music mix,music,new music mix,remix,best music mix 2021,cloudx music,best of edm,NCS Release,dubstep,trap,nocopyrightsounds,edm gaming,game music,gaming mix,gaming song,gaming songrap",PT56M39S,468114,9323
